CRA_ID,ADDRESS,APPLICATION_DATE,CONSTRUCTION_TYPE,HCA_ABATED_VALUE,ABATEMENT_QUALIFYING_TERM,INCENTIVE_AMOUNT,LEED_CLASS,LEED_DATE,OWNERSHIP_TYPE,CITY_DETERMINATION,LONGITUDE,LATITUDE,DCED_NEIGHBORHOOD,NEIGHBORHOOD,COMMUNITY_COUNCIL_NEIGHBORHOOD,CONSTRUCTION_VALUE_IMPROVEMENT
a0F4W00000apNc4UAE,230 WORTH ST,08/16/2022 12:00:00 AM,NEW,562000,15,237910.864842,GOLD,08/31/2022 12:00:00 AM,,QUALIFIED,-84.44224129,39.1157362300299,,EAST END,EAST END,495432.98
a0F4W00000apNcEUAU,2897 WALWORTH AV,08/11/2022 12:00:00 AM,NEW,562000,15,237910.864842,GOLD,08/11/2022 12:00:00 AM,,QUALIFIED,-84.45035324,39.1220673000299,,EAST END,EAST END,1395470
a0F4W00000apNcyUAE,3114 WOODBURN AV,08/11/2022 12:00:00 AM,NEW,400000,15,169331.5764,SILVER,09/14/2022 12:00:00 AM,,QUALIFIED,-84.47591552,39.1345365300299,,EVANSTON,EVANSTON,472371.44
a0F4W00000apNd8UAE,1224 GRACE AV,08/10/2022 12:00:00 AM,NEW,562000,15,237910.864842,GOLD,01/17/2023 12:00:00 AM,,QUALIFIED,-84.4316235,39.1325735300299,,MOUNT LOOKOUT,MOUNT LOOKOUT,700948
a0F4W00000apNdSUAU,3399 AULT VIEW AV,08/09/2022 12:00:00 AM,NEW,943380,15,399360.05636058,PLATINUM,08/09/2022 12:00:00 AM,,QUALIFIED,-84.41992265,39.1356591900299,,MOUNT LOOKOUT,MOUNT LOOKOUT,1213378
a0F4W00000apNe1UAE,1448 BERCLIFF AV,08/08/2022 12:00:00 AM,NEW,264270,10,74582.09282538,NOT CERTIFIED,,,QUALIFIED,-84.53488739,39.1678765500299,,NORTHSIDE,NORTHSIDE,346842
a0F4W00000apNqSUAU,4216 BADGELEY CIR,07/25/2022 12:00:00 AM,NEW,275000,10,77610.30585,NOT CERTIFIED,,,QUALIFIED,-84.55165057,39.1664799400299,,NORTHSIDE,NORTHSIDE,340000
a0F4W00000apNqhUAE,1616 MERRIMAC ST,07/18/2022 12:00:00 AM,NEW,275000,10,77610.30585,,,,QUALIFIED,-84.4751669,39.1348761000299,,EVANSTON,EVANSTON,583050
a0F4W00000apNrBUAU,2907 ROMANA PL,07/05/2022 12:00:00 AM,NEW,562000,15,237910.864842,GOLD,01/04/2023 12:00:00 AM,,QUALIFIED,-84.4357537338947,39.1508289661747,,OAKLEY,N/A,619900
a0F4W00000apNrQUAU,2905 ROMANA PL,07/05/2022 12:00:00 AM,NEW,562000,15,237910.864842,GOLD,01/04/2023 12:00:00 AM,,QUALIFIED,-84.4357811293701,39.1508313355131,,OAKLEY,N/A,730900
a0F4W00000apNrfUAE,2909 ROMANA PL,06/08/2022 12:00:00 AM,NEW,562000,15,237910.864842,GOLD,06/08/2022 12:00:00 AM,,QUALIFIED,-84.4357263384192,39.1508265968363,,OAKLEY,N/A,630000
a0F4W00000apOM4UAM,4425 HOMER AV,06/27/2022 12:00:00 AM,REHAB,132470,10,37385.58987618,NOT CERTIFIED,,,QUALIFIED,-84.38877914,39.1533426600299,,MADISONVILLE,MADISONVILLE,101882.92
a0F4W00000apOtfUAE,1803 BAYMILLER ST,07/14/2022 12:00:00 AM,REHAB,247370,10,69812.58675678,NOT CERTIFIED,,,QUALIFIED,-84.529462,39.1163469100299,,WEST END,WEST END,223708.65
a0F4W00000apOtkUAE,1835 BAYMILLER ST,07/20/2022 12:00:00 AM,REHAB,,10,,NOT CERTIFIED,,,QUALIFIED,-84.5124602,39.1014537,,WEST END,N/A,452500
a0F4W00000apOu0UAE,4514 ERIE AV,07/25/2022 12:00:00 AM,REHAB,253000,10,71401.481382,NOT CERTIFIED,,,QUALIFIED,-84.39687539,39.1552515200299,,MADISONVILLE,MADISONVILLE,96000
a0F4W00000apOuQUAU,1807 BAYMILLER ST,07/14/2022 12:00:00 AM,REHAB,251070,10,70856.79814458,NOT CERTIFIED,,,QUALIFIED,-84.52948235,39.1164278100299,,WEST END,WEST END,265386.19
a0F4W00000b1xyqUAA,4032 DELANEY ST,10/11/2022 12:00:00 AM,REHAB,228120,10,64379.86534728,NOT CERTIFIED,,,QUALIFIED,-84.5433461,39.1599617400299,,NORTHSIDE,NORTHSIDE,303186.89
a0F4W00000b1ybKUAQ,6715 KENNEDY AV,10/11/2022 12:00:00 AM,REHAB,115640,10,32635.83915816,NOT CERTIFIED,,,QUALIFIED,-84.41508296,39.1923118500299,,KENNEDY HEIGHTS,KENNEDY HEIGHTS,58000
a0F4W00000b1ybeUAA,541 GLENWOOD AV,10/03/2022 12:00:00 AM,REHAB,57190,10,16140.12142386,NOT CERTIFIED,,,QUALIFIED,-84.49686076,39.1486871200299,,AVONDALE,AVONDALE,52800
