FISCAL_YEAR,RECORD_DATE,AMOUNT_EXPENDED
2017,12/14/2016 12:00:00 AM,1722462.24
2022,02/01/2022 12:00:00 AM,20744895.73
2018,11/21/2017 12:00:00 AM,4000111.5
2017,05/25/2017 12:00:00 AM,4504023.7
2022,06/27/2022 12:00:00 AM,204658.55
2022,10/22/2021 12:00:00 AM,1554772.66
2020,03/17/2020 12:00:00 AM,17112700.3
2020,02/29/2020 12:00:00 AM,364
2018,05/16/2018 12:00:00 AM,6262353.11
2016,02/02/2016 12:00:00 AM,1231982.04
2022,10/02/2021 12:00:00 AM,0
2021,08/17/2020 12:00:00 AM,1433785.67
2015,09/03/2014 12:00:00 AM,2907040.01
2023,02/17/2023 12:00:00 AM,858291.25
2015,10/27/2014 12:00:00 AM,1249433.35
2016,03/26/2016 12:00:00 AM,25664
2016,01/26/2016 12:00:00 AM,28196220.83
2015,09/02/2014 12:00:00 AM,687264.11
2023,10/09/2022 12:00:00 AM,4773671.64
2024,08/20/2023 12:00:00 AM,29.46
2023,11/23/2022 12:00:00 AM,1045188.9
2021,08/27/2020 12:00:00 AM,1929748.2
2017,08/02/2016 12:00:00 AM,2363955.98
2024,10/09/2023 12:00:00 AM,5448699.75
2021,12/28/2020 12:00:00 AM,4807286.04
2018,08/02/2017 12:00:00 AM,404069.8
2024,07/13/2023 12:00:00 AM,4554418.95
2022,06/16/2022 12:00:00 AM,17511122.69
2017,01/20/2017 12:00:00 AM,682515.34
2017,04/16/2017 12:00:00 AM,72642.75
2015,01/18/2015 12:00:00 AM,684990.59
2018,06/04/2018 12:00:00 AM,1225531.83
2017,03/26/2017 12:00:00 AM,116590.16
2015,03/11/2015 12:00:00 AM,1192655.05
2018,06/16/2018 12:00:00 AM,202949.05
2020,09/27/2019 12:00:00 AM,1725915.01
2015,11/10/2014 12:00:00 AM,675745.41
2018,03/27/2018 12:00:00 AM,2235406.65
2018,12/05/2017 12:00:00 AM,4951583.85
2015,04/20/2015 12:00:00 AM,1141079.66
2022,04/11/2022 12:00:00 AM,1835668.31
2020,10/07/2019 12:00:00 AM,6206985.24
2023,09/15/2022 12:00:00 AM,6883590.88
2024,10/08/2023 12:00:00 AM,3291630.89
2019,11/10/2018 12:00:00 AM,258225.7
2023,06/12/2023 12:00:00 AM,6538965.16
2015,03/18/2015 12:00:00 AM,7587618.37
2024,03/27/2024 12:00:00 AM,8899670.56
2015,10/15/2014 12:00:00 AM,8739661.43
2024,09/02/2023 12:00:00 AM,1727.72
2023,12/29/2022 12:00:00 AM,1758811.65
2015,07/16/2014 12:00:00 AM,6996315.77
2019,04/25/2019 12:00:00 AM,465159.23
