FISCAL_YEAR,RECORD_DATE,AMOUNT_EXPENDED
2015,10/02/2014 12:00:00 AM,4510375.55
2019,12/05/2018 12:00:00 AM,-558640.95
2023,03/20/2023 12:00:00 AM,5036996.48
2021,12/29/2020 12:00:00 AM,4102233.5
2022,05/23/2022 12:00:00 AM,2163415.65
2020,03/12/2020 12:00:00 AM,2676694.14
2018,12/14/2017 12:00:00 AM,13346169.98
2016,03/24/2016 12:00:00 AM,3564937.39
2021,08/13/2020 12:00:00 AM,1267919.73
2015,06/12/2015 12:00:00 AM,92662.87
2023,03/11/2023 12:00:00 AM,10244.14
2023,12/07/2022 12:00:00 AM,11350964.73
2019,11/01/2018 12:00:00 AM,2858227.08
2020,02/08/2020 12:00:00 AM,285038.83
2019,01/02/2019 12:00:00 AM,4921683.69
2017,03/08/2017 12:00:00 AM,7284672.6
2018,01/12/2018 12:00:00 AM,3834017.94
2015,03/24/2015 12:00:00 AM,23989840.59
2019,12/27/2018 12:00:00 AM,15067396.04
2021,02/02/2021 12:00:00 AM,23174078.26
2020,09/24/2019 12:00:00 AM,1229544.74
2021,06/17/2021 12:00:00 AM,136548.78
2017,01/04/2017 12:00:00 AM,339774.14
2018,02/15/2018 12:00:00 AM,469659.84
2020,04/15/2020 12:00:00 AM,9402157.99
2024,10/26/2023 12:00:00 AM,16109505.3
2024,01/08/2024 12:00:00 AM,7000421.28
2018,08/21/2017 12:00:00 AM,7060437.6
2015,06/02/2015 12:00:00 AM,15801170.39
2023,07/23/2022 12:00:00 AM,2313.5
2022,08/25/2021 12:00:00 AM,4819785.19
2017,02/02/2017 12:00:00 AM,2029337.85
2023,07/07/2022 12:00:00 AM,15220.05
2016,10/20/2015 12:00:00 AM,19671213.45
2019,04/21/2019 12:00:00 AM,10
2020,03/10/2020 12:00:00 AM,4436470.82
2024,07/25/2023 12:00:00 AM,-1916281.99
2016,04/22/2016 12:00:00 AM,3433180.94
2017,04/14/2017 12:00:00 AM,2172437.96
2022,04/18/2022 12:00:00 AM,13387245.26
2018,02/22/2018 12:00:00 AM,6909743.14
2024,05/17/2024 12:00:00 AM,3013505.18
2020,08/20/2019 12:00:00 AM,31595264.68
2024,10/18/2023 12:00:00 AM,3365485.73
2024,06/03/2024 12:00:00 AM,1608799.76
2015,06/25/2015 12:00:00 AM,2486397.75
2023,09/17/2022 12:00:00 AM,853580.38
2018,06/12/2018 12:00:00 AM,26143574.04
2024,03/20/2024 12:00:00 AM,4605341.49
2019,10/18/2018 12:00:00 AM,6222039.34
2024,03/05/2024 12:00:00 AM,4609886.48
2019,11/08/2018 12:00:00 AM,2732174.35
2019,05/20/2019 12:00:00 AM,2323490.12
2020,12/10/2019 12:00:00 AM,20115021.98
2021,06/18/2021 12:00:00 AM,8322308.72
2022,04/21/2022 12:00:00 AM,1211780.24
2024,11/16/2023 12:00:00 AM,4126111.49
2019,02/01/2019 12:00:00 AM,4639664.42
2018,05/22/2018 12:00:00 AM,975369.04
2016,07/07/2015 12:00:00 AM,587361.18
2020,09/13/2019 12:00:00 AM,1781917.73
2023,03/01/2023 12:00:00 AM,4755270.33
2019,07/01/2018 12:00:00 AM,29325
2017,08/19/2016 12:00:00 AM,10551457.45
2020,08/21/2019 12:00:00 AM,1551288.26
2024,03/14/2024 12:00:00 AM,4244496.12
2021,10/14/2020 12:00:00 AM,2684700.95
2016,03/02/2016 12:00:00 AM,6584098.52
2024,12/28/2023 12:00:00 AM,3637447.41
2016,04/10/2016 12:00:00 AM,2663130.92
2025,07/08/2024 12:00:00 AM,127272.69
2018,12/28/2017 12:00:00 AM,507564.7
2020,09/23/2019 12:00:00 AM,7861421.43
2022,12/06/2021 12:00:00 AM,4755485.76
2015,05/11/2015 12:00:00 AM,572044.25
2023,11/07/2022 12:00:00 AM,1984134.85
2023,09/03/2022 12:00:00 AM,1483847.36
2019,05/31/2019 12:00:00 AM,5253122.91
2018,04/15/2018 12:00:00 AM,2935.64
2022,01/25/2022 12:00:00 AM,4313212.14
2020,10/03/2019 12:00:00 AM,6738538.63
2017,06/16/2017 12:00:00 AM,678803.09
2021,05/25/2021 12:00:00 AM,35571991.65
2018,03/21/2018 12:00:00 AM,6396170.41
2017,06/27/2017 12:00:00 AM,26046326.25
2024,01/26/2024 12:00:00 AM,2464064.71
2024,05/29/2024 12:00:00 AM,6191373.06
2020,04/12/2020 12:00:00 AM,2373383.7
2019,12/29/2018 12:00:00 AM,1155.28
2016,10/14/2015 12:00:00 AM,1015021.01
2019,01/04/2019 12:00:00 AM,2390633.95
2023,02/15/2023 12:00:00 AM,6876444.65
2018,12/26/2017 12:00:00 AM,28101548.54
2020,08/06/2019 12:00:00 AM,18637629.09
2024,04/22/2024 12:00:00 AM,9416166.24
2015,02/04/2015 12:00:00 AM,2087122.85
2022,08/20/2021 12:00:00 AM,1156243.16
2022,03/30/2022 12:00:00 AM,2872450.14
2016,04/14/2016 12:00:00 AM,1248355.83
2022,08/27/2021 12:00:00 AM,1179254.92
2024,08/17/2023 12:00:00 AM,3874120.61
2024,12/21/2023 12:00:00 AM,4479385.05
2023,10/04/2022 12:00:00 AM,6891104.9
2020,02/16/2020 12:00:00 AM,0
2019,07/06/2018 12:00:00 AM,681896.91
2023,11/13/2022 12:00:00 AM,4138524.02
2018,09/23/2017 12:00:00 AM,225014.19
2021,08/02/2020 12:00:00 AM,5192.74
2023,01/07/2023 12:00:00 AM,194499.54
2024,08/10/2023 12:00:00 AM,1051399.06
2020,01/23/2020 12:00:00 AM,1635197.07
2018,02/17/2018 12:00:00 AM,468475.98
2019,08/22/2018 12:00:00 AM,1465856.3
2018,10/28/2017 12:00:00 AM,449485.79
2024,11/12/2023 12:00:00 AM,4929361.82
2024,05/03/2024 12:00:00 AM,3292000.84
2020,10/17/2019 12:00:00 AM,5264831.81
2024,01/23/2024 12:00:00 AM,1062360.61
2018,01/26/2018 12:00:00 AM,618691
2017,04/07/2017 12:00:00 AM,656265.19
2015,12/08/2014 12:00:00 AM,2862802.9
2024,07/07/2023 12:00:00 AM,177141.67
2019,10/15/2018 12:00:00 AM,889882.33
2021,11/13/2020 12:00:00 AM,1272689.61
2018,04/18/2018 12:00:00 AM,998679.1
2019,06/09/2019 12:00:00 AM,3425332.94
2024,02/28/2024 12:00:00 AM,3939639.44
2016,05/20/2016 12:00:00 AM,3424849.03
2023,08/25/2022 12:00:00 AM,3389503.14
2020,04/10/2020 12:00:00 AM,3414527.37
2022,04/01/2022 12:00:00 AM,1896997.98
2015,10/06/2014 12:00:00 AM,1769349.75
2021,10/11/2020 12:00:00 AM,2807097.92
2024,08/24/2023 12:00:00 AM,1943695.59
2017,12/02/2016 12:00:00 AM,819328.96
2022,04/29/2022 12:00:00 AM,2230666.02
2020,12/02/2019 12:00:00 AM,2547472.98
2021,07/06/2020 12:00:00 AM,-389.8
2018,07/18/2017 12:00:00 AM,3679973.43
2018,12/11/2017 12:00:00 AM,4884457.97
2017,03/03/2017 12:00:00 AM,5294478.33
2020,05/31/2020 12:00:00 AM,0
2017,12/15/2016 12:00:00 AM,4617400.36
2017,06/13/2017 12:00:00 AM,31041846.65
2019,08/01/2018 12:00:00 AM,6519762.6
2019,06/21/2019 12:00:00 AM,6143645.16
2023,08/19/2022 12:00:00 AM,6085208.1
2022,03/10/2022 12:00:00 AM,3386360.3
2023,03/31/2023 12:00:00 AM,2459012.39
2018,09/02/2017 12:00:00 AM,90454.35
2021,04/13/2021 12:00:00 AM,19230404.63
2022,06/22/2022 12:00:00 AM,20061834.61
2016,10/04/2015 12:00:00 AM,8055.23
2021,12/09/2020 12:00:00 AM,11053828.52
2016,03/15/2016 12:00:00 AM,2385443.92
2017,09/26/2016 12:00:00 AM,3082656.18
2015,03/06/2015 12:00:00 AM,2249483.16
2018,04/16/2018 12:00:00 AM,2776418.51
2022,03/22/2022 12:00:00 AM,2432291.88
2017,05/06/2017 12:00:00 AM,357106.9
2019,09/14/2018 12:00:00 AM,772096.78
2025,07/12/2024 12:00:00 AM,3146156.13
2015,06/17/2015 12:00:00 AM,4096481.66
2015,01/06/2015 12:00:00 AM,2142215.7
2020,06/11/2020 12:00:00 AM,13066738.35
2020,06/22/2020 12:00:00 AM,104708.83
2016,09/01/2015 12:00:00 AM,5787280.6
2023,09/06/2022 12:00:00 AM,2133169.87
2018,10/10/2017 12:00:00 AM,2249925.72
2018,08/23/2017 12:00:00 AM,2229564.85
2017,12/30/2016 12:00:00 AM,78594.37
2024,05/27/2024 12:00:00 AM,20.31
2015,01/30/2015 12:00:00 AM,3046211.87
2017,09/03/2016 12:00:00 AM,350508.61
2015,04/27/2015 12:00:00 AM,1061658.04
2017,10/16/2016 12:00:00 AM,2455.24
2023,08/31/2022 12:00:00 AM,9844417.81
2021,12/18/2020 12:00:00 AM,16638015.83
2023,02/01/2023 12:00:00 AM,1255489.64
2021,06/12/2021 12:00:00 AM,384383.03
2020,09/07/2019 12:00:00 AM,147207.29
2021,04/29/2021 12:00:00 AM,641239.11
2022,08/05/2021 12:00:00 AM,8142966.86
2019,02/22/2019 12:00:00 AM,2242946.56
2020,05/04/2020 12:00:00 AM,2573358.49
2023,10/28/2022 12:00:00 AM,5076510.51
2015,10/08/2014 12:00:00 AM,1720631.82
2018,07/14/2017 12:00:00 AM,2202838.8
2024,06/14/2024 12:00:00 AM,6844866.53
2023,01/11/2023 12:00:00 AM,5699332.45
2018,12/16/2017 12:00:00 AM,364675.59
2015,10/01/2014 12:00:00 AM,5471477.36
2023,03/23/2023 12:00:00 AM,3354050.29
2024,06/18/2024 12:00:00 AM,34375483.09
2024,12/05/2023 12:00:00 AM,21952872.54
2020,08/12/2019 12:00:00 AM,1679481.73
2018,03/12/2018 12:00:00 AM,2746526.45
2024,01/13/2024 12:00:00 AM,110423.9
2019,01/30/2019 12:00:00 AM,2277262.44
2016,04/12/2016 12:00:00 AM,1235870.45
2016,04/29/2016 12:00:00 AM,1657025.85
2024,01/02/2024 12:00:00 AM,20296318.13
2016,12/23/2015 12:00:00 AM,39772929.59
2018,08/29/2017 12:00:00 AM,2379509.8
2021,05/19/2021 12:00:00 AM,12699059.83
2023,07/05/2022 12:00:00 AM,17438258.75
2018,04/07/2018 12:00:00 AM,955.27
2024,02/21/2024 12:00:00 AM,3193874.79
2023,07/06/2022 12:00:00 AM,3614.95
2023,02/06/2023 12:00:00 AM,2280326.56
2018,04/10/2018 12:00:00 AM,976572.57
2020,04/23/2020 12:00:00 AM,8138454.11
2023,05/23/2023 12:00:00 AM,36194324.8
2022,12/22/2021 12:00:00 AM,6578053.21
2020,03/05/2020 12:00:00 AM,1006631.57
2023,12/13/2022 12:00:00 AM,2992484.62
2020,07/22/2019 12:00:00 AM,1926272.35
2017,12/11/2016 12:00:00 AM,2051879.77
2015,02/01/2015 12:00:00 AM,4682070.22
2022,04/07/2022 12:00:00 AM,7693084.32
2018,07/28/2017 12:00:00 AM,1095433.92
2020,11/25/2019 12:00:00 AM,8252960.11
2024,02/06/2024 12:00:00 AM,7263783.22
2023,05/06/2023 12:00:00 AM,302448.46
2023,06/16/2023 12:00:00 AM,6310655
2023,04/25/2023 12:00:00 AM,32497984.95
2017,05/16/2017 12:00:00 AM,15724396.15
2022,12/23/2021 12:00:00 AM,904127.16
2016,12/29/2015 12:00:00 AM,27810605.81
2016,01/16/2016 12:00:00 AM,1264.48
2016,05/24/2016 12:00:00 AM,2048181.54
2018,02/28/2018 12:00:00 AM,2008085.34
2020,01/19/2020 12:00:00 AM,0
2019,02/05/2019 12:00:00 AM,20174074.44
2017,11/19/2016 12:00:00 AM,447232.85
2018,08/05/2017 12:00:00 AM,102457.64
2017,09/29/2016 12:00:00 AM,741249.54
2022,07/25/2021 12:00:00 AM,75357.75
2024,11/13/2023 12:00:00 AM,8028276.35
2017,08/25/2016 12:00:00 AM,4701736.45
2018,06/13/2018 12:00:00 AM,1700973.32
2019,04/18/2019 12:00:00 AM,2930386.02
2015,08/12/2014 12:00:00 AM,18788954.16
2019,04/02/2019 12:00:00 AM,21184683.4
2018,10/27/2017 12:00:00 AM,393336.03
2020,12/26/2019 12:00:00 AM,859861.88
2024,10/27/2023 12:00:00 AM,660274.22
2021,03/22/2021 12:00:00 AM,5392049.62
2022,12/09/2021 12:00:00 AM,5728403.99
2023,03/15/2023 12:00:00 AM,6955178.49
2015,08/28/2014 12:00:00 AM,-170110.97
2022,03/03/2022 12:00:00 AM,1281074.16
2020,02/05/2020 12:00:00 AM,6015325.94
2020,07/12/2019 12:00:00 AM,6471345.27
2015,03/03/2015 12:00:00 AM,2658978.83
2016,06/22/2016 12:00:00 AM,774196.08
2018,01/30/2018 12:00:00 AM,1536767.23
2022,02/10/2022 12:00:00 AM,3321386.1
2019,06/02/2019 12:00:00 AM,-9206.37
2017,09/21/2016 12:00:00 AM,1462938.79
2017,04/26/2017 12:00:00 AM,4633962.28
2023,05/11/2023 12:00:00 AM,10923457.72
2024,11/27/2023 12:00:00 AM,3514954.66
2017,05/14/2017 12:00:00 AM,2307771.01
2017,09/01/2016 12:00:00 AM,6580396.9
2022,09/24/2021 12:00:00 AM,3709689.37
2018,01/18/2018 12:00:00 AM,1880318.24
2020,01/11/2020 12:00:00 AM,1564865.63
2018,01/14/2018 12:00:00 AM,2565705.18
2019,10/16/2018 12:00:00 AM,21896158.99
2018,09/16/2017 12:00:00 AM,602191.08
2019,03/25/2019 12:00:00 AM,3397636.83
2022,10/30/2021 12:00:00 AM,5
2018,12/29/2017 12:00:00 AM,4178522.58
2017,10/06/2016 12:00:00 AM,5248601.78
2016,11/30/2015 12:00:00 AM,25513084.69
2019,05/13/2019 12:00:00 AM,3583426.05
2015,08/19/2014 12:00:00 AM,979466.34
2017,09/23/2016 12:00:00 AM,1325577.53
2022,09/30/2021 12:00:00 AM,699089.91
2024,02/26/2024 12:00:00 AM,1377235.2
2017,12/22/2016 12:00:00 AM,1154895.82
2020,05/27/2020 12:00:00 AM,3885925.87
2020,04/07/2020 12:00:00 AM,6858800.33
2018,03/10/2018 12:00:00 AM,433588.81
2023,01/20/2023 12:00:00 AM,5200196
2018,07/06/2017 12:00:00 AM,-4292.45
2017,09/30/2016 12:00:00 AM,6441962.49
2023,04/23/2023 12:00:00 AM,1320
2020,07/30/2019 12:00:00 AM,1470985.86
2015,05/27/2015 12:00:00 AM,1798524.59
2024,05/01/2024 12:00:00 AM,6663635.31
2020,12/13/2019 12:00:00 AM,3557640.42
2016,03/21/2016 12:00:00 AM,1102008.22
2020,05/29/2020 12:00:00 AM,10638819.38
2019,05/14/2019 12:00:00 AM,22334653.56
2023,04/17/2023 12:00:00 AM,3848921.9
2024,11/17/2023 12:00:00 AM,2039586.75
2024,03/31/2024 12:00:00 AM,15278.76
2018,02/27/2018 12:00:00 AM,2094487.77
2024,11/28/2023 12:00:00 AM,8360999.18
2016,07/08/2015 12:00:00 AM,3663.67
2020,06/18/2020 12:00:00 AM,3666487.72
2017,05/31/2017 12:00:00 AM,9960267.2
2018,10/13/2017 12:00:00 AM,7617247.24
2015,05/07/2015 12:00:00 AM,6726657.93
2023,08/23/2022 12:00:00 AM,3396341.87
2016,04/20/2016 12:00:00 AM,2596089.13
2018,02/11/2018 12:00:00 AM,3351048.74
2021,12/24/2020 12:00:00 AM,5712248.1
2016,03/10/2016 12:00:00 AM,2234066.56
2018,08/16/2017 12:00:00 AM,1422697.4
2017,12/10/2016 12:00:00 AM,60752.27
2016,02/23/2016 12:00:00 AM,27437141.21
2021,09/20/2020 12:00:00 AM,16245.17
2017,12/09/2016 12:00:00 AM,1078301.5
2023,09/12/2022 12:00:00 AM,1276786.36
2022,07/16/2021 12:00:00 AM,1866754.51
2015,03/12/2015 12:00:00 AM,7807395.73
2020,06/28/2020 12:00:00 AM,31805.14
2020,03/25/2020 12:00:00 AM,1746829.04
2020,06/29/2020 12:00:00 AM,260706.25
2020,12/03/2019 12:00:00 AM,768485.45
2018,05/24/2018 12:00:00 AM,622934.91
2019,02/16/2019 12:00:00 AM,961111.71
2023,01/26/2023 12:00:00 AM,2359058.36
2015,01/16/2015 12:00:00 AM,326447.83
2018,10/26/2017 12:00:00 AM,5973980.06
2017,09/12/2016 12:00:00 AM,1261969.28
2021,08/25/2020 12:00:00 AM,1435859.62
2018,11/15/2017 12:00:00 AM,1077576.12
2018,03/18/2018 12:00:00 AM,80556.11
2024,03/10/2024 12:00:00 AM,3386140.33
2020,08/27/2019 12:00:00 AM,2585260.64
2021,09/08/2020 12:00:00 AM,2641136.73
2018,11/17/2017 12:00:00 AM,1409760.93
2022,06/06/2022 12:00:00 AM,5204952.63
2017,10/18/2016 12:00:00 AM,25430172.3
2018,02/21/2018 12:00:00 AM,951013.28
2015,03/08/2015 12:00:00 AM,4558464.95
2021,04/12/2021 12:00:00 AM,4986105.14
2023,04/30/2023 12:00:00 AM,0
2015,02/25/2015 12:00:00 AM,7992207.28
2019,07/14/2018 12:00:00 AM,27218.4
2023,10/12/2022 12:00:00 AM,3080506.07
2018,09/11/2017 12:00:00 AM,1218564.99
2017,03/22/2017 12:00:00 AM,4380644.55
2015,10/03/2014 12:00:00 AM,10710391.18
2023,01/28/2023 12:00:00 AM,44428.44
2017,08/12/2016 12:00:00 AM,2078610.37
2016,08/04/2015 12:00:00 AM,3901895.02
2021,06/13/2021 12:00:00 AM,2834289.9
2022,08/04/2021 12:00:00 AM,10472907.75
2018,01/24/2018 12:00:00 AM,2400202.09
2022,12/17/2021 12:00:00 AM,17503127.73
2016,01/04/2016 12:00:00 AM,851301.54
2020,10/01/2019 12:00:00 AM,22585648.61
2015,05/02/2015 12:00:00 AM,54561.44
2023,06/11/2023 12:00:00 AM,3088052.44
2018,01/10/2018 12:00:00 AM,1214296.43
2019,11/03/2018 12:00:00 AM,634153.09
2020,07/13/2019 12:00:00 AM,529954.72
2017,03/11/2017 12:00:00 AM,509810.7
2022,12/13/2021 12:00:00 AM,1043763.96
2023,04/02/2023 12:00:00 AM,5620.91
2019,05/03/2019 12:00:00 AM,2831741.72
2020,08/17/2019 12:00:00 AM,1278115.99
2023,04/18/2023 12:00:00 AM,4496682.84
2015,12/29/2014 12:00:00 AM,1638090.69
2020,04/19/2020 12:00:00 AM,10827.95
2020,03/21/2020 12:00:00 AM,959.8
2019,05/05/2019 12:00:00 AM,3885.5
2021,07/29/2020 12:00:00 AM,1183839.87
2021,08/14/2020 12:00:00 AM,1893378.26
2017,12/05/2016 12:00:00 AM,19991421.29
2024,01/31/2024 12:00:00 AM,19477855.52
2020,01/13/2020 12:00:00 AM,1368714.7
2023,12/23/2022 12:00:00 AM,837930.24
2022,10/18/2021 12:00:00 AM,1361895.5
2018,06/19/2018 12:00:00 AM,4912724.01
2021,05/21/2021 12:00:00 AM,2438152.46
2016,09/02/2015 12:00:00 AM,5535856.51
2017,01/08/2017 12:00:00 AM,2944370.31
2021,02/12/2021 12:00:00 AM,1337314.84
2022,06/28/2022 12:00:00 AM,281054.75
2015,11/07/2014 12:00:00 AM,828864.46
2017,09/02/2016 12:00:00 AM,799063.04
2017,04/09/2017 12:00:00 AM,2947699.56
2023,02/21/2023 12:00:00 AM,1751631.03
2016,03/03/2016 12:00:00 AM,826627.66
2017,06/21/2017 12:00:00 AM,5684098.14
2015,12/16/2014 12:00:00 AM,16097905.44
2024,04/28/2024 12:00:00 AM,4657.42
2020,07/09/2019 12:00:00 AM,20010991.84
2015,04/05/2015 12:00:00 AM,3353235.65
2023,04/13/2023 12:00:00 AM,5168508.77
2017,09/09/2016 12:00:00 AM,1259465.24
2020,11/27/2019 12:00:00 AM,52792476.63
2021,09/14/2020 12:00:00 AM,8692531.13
2017,02/27/2017 12:00:00 AM,3269150.65
2019,06/06/2019 12:00:00 AM,6858810.38
2015,06/30/2015 12:00:00 AM,14189709.92
2024,08/07/2023 12:00:00 AM,7160611.07
2017,04/01/2017 12:00:00 AM,124876.89
2016,02/15/2016 12:00:00 AM,10440.7
2019,09/08/2018 12:00:00 AM,656337.04
2017,02/05/2017 12:00:00 AM,5179.54
2021,07/17/2020 12:00:00 AM,1694394.72
2017,08/11/2016 12:00:00 AM,1111067.48
2019,01/26/2019 12:00:00 AM,627243.78
2020,08/29/2019 12:00:00 AM,2427302.69
2018,10/14/2017 12:00:00 AM,512117.5
2019,02/04/2019 12:00:00 AM,1548401.86
2019,09/29/2018 12:00:00 AM,110898
2019,04/22/2019 12:00:00 AM,1151364.66
2020,06/30/2020 12:00:00 AM,-17549524.48
2019,01/15/2019 12:00:00 AM,5501896.61
2016,04/27/2016 12:00:00 AM,1209156.65
2017,01/19/2017 12:00:00 AM,4357338.6
2017,05/22/2017 12:00:00 AM,2306905.79
2015,05/08/2015 12:00:00 AM,224105.65
2015,05/13/2015 12:00:00 AM,13100989.01
2018,07/10/2017 12:00:00 AM,-9444.45
2021,03/09/2021 12:00:00 AM,5496052.39
2015,08/27/2014 12:00:00 AM,9887677.79
2023,12/06/2022 12:00:00 AM,21866209.7
2019,08/13/2018 12:00:00 AM,2340106.92
2017,01/10/2017 12:00:00 AM,17512840
2015,02/26/2015 12:00:00 AM,5612600.04
2024,04/16/2024 12:00:00 AM,897754.25
2015,01/09/2015 12:00:00 AM,4070612.92
2019,11/27/2018 12:00:00 AM,33085641.16
2015,03/16/2015 12:00:00 AM,2616518.02
2023,05/22/2023 12:00:00 AM,4794087.27
2017,05/03/2017 12:00:00 AM,1136289.18
2019,10/02/2018 12:00:00 AM,18481178.11
2020,09/21/2019 12:00:00 AM,15731.74
2018,05/07/2018 12:00:00 AM,686633.94
2024,09/26/2023 12:00:00 AM,35207254.69
2022,07/02/2021 12:00:00 AM,-173.65
2024,12/29/2023 12:00:00 AM,1188651.36
2016,10/28/2015 12:00:00 AM,2348898.05
2018,04/20/2018 12:00:00 AM,2322201.21
2022,04/14/2022 12:00:00 AM,3160601.63
2024,08/18/2023 12:00:00 AM,6615745.24
2015,03/15/2015 12:00:00 AM,641261.19
2021,07/06/2021 12:00:00 AM,0
2021,02/10/2021 12:00:00 AM,1646413.91
2016,03/04/2016 12:00:00 AM,8530790.73
2019,08/06/2018 12:00:00 AM,2009006.32
2023,03/12/2023 12:00:00 AM,2791676.69
2016,03/31/2016 12:00:00 AM,793113.69
2020,01/03/2020 12:00:00 AM,1195919.48
2022,03/09/2022 12:00:00 AM,1801839.87
2024,11/02/2023 12:00:00 AM,4815778.5
2022,08/24/2021 12:00:00 AM,5512649.52
2024,03/13/2024 12:00:00 AM,5296196.43
2021,06/05/2021 12:00:00 AM,349914.42
2019,11/29/2018 12:00:00 AM,5422712.73
2020,05/12/2020 12:00:00 AM,16135926.38
2020,06/25/2020 12:00:00 AM,241034.29
2017,01/12/2017 12:00:00 AM,800782.84
2023,09/29/2022 12:00:00 AM,2936722.15
2018,03/07/2018 12:00:00 AM,4419221.49
2022,02/09/2022 12:00:00 AM,12772977.57
2019,12/14/2018 12:00:00 AM,3522918.9
2022,09/09/2021 12:00:00 AM,3745936.75
2017,04/24/2017 12:00:00 AM,1485535.11
2017,08/04/2016 12:00:00 AM,4666530.37
2018,02/20/2018 12:00:00 AM,28707239.18
2015,12/23/2014 12:00:00 AM,1048043.04
2019,11/17/2018 12:00:00 AM,1211552.31
2020,12/20/2019 12:00:00 AM,6310057.64
2022,10/19/2021 12:00:00 AM,4280357.1
2023,06/15/2023 12:00:00 AM,7621064.96
2017,02/11/2017 12:00:00 AM,301654.67
2015,01/23/2015 12:00:00 AM,665303.08
2019,04/30/2019 12:00:00 AM,32909680.47
2020,01/22/2020 12:00:00 AM,2566949.8
2015,05/01/2015 12:00:00 AM,596010.15
2017,06/12/2017 12:00:00 AM,6976350.97
2024,02/07/2024 12:00:00 AM,1931206.06
2015,09/21/2014 12:00:00 AM,489793.5
2020,01/14/2020 12:00:00 AM,6809852.95
2023,02/02/2023 12:00:00 AM,4318168.75
2019,10/14/2018 12:00:00 AM,2661996.2
2016,09/29/2015 12:00:00 AM,585293.2
2020,01/10/2020 12:00:00 AM,7014627.04
2019,01/21/2019 12:00:00 AM,1300
2018,09/29/2017 12:00:00 AM,3442518.52
2015,09/19/2014 12:00:00 AM,208810.72
2021,10/27/2020 12:00:00 AM,30450698.07
2019,07/30/2018 12:00:00 AM,2336984.74
2018,01/01/2018 12:00:00 AM,2853.18
2018,06/15/2018 12:00:00 AM,5078213.28
2020,01/07/2020 12:00:00 AM,23036176.12
2015,10/16/2014 12:00:00 AM,6291391.74
2019,07/09/2018 12:00:00 AM,2807232.51
2023,06/06/2023 12:00:00 AM,22266199.76
2016,11/13/2015 12:00:00 AM,1618069.5
2017,07/06/2016 12:00:00 AM,3022.66
2015,05/18/2015 12:00:00 AM,5316886.18
2015,01/20/2015 12:00:00 AM,4552480.03
2021,12/13/2020 12:00:00 AM,3527980.66
2018,06/22/2018 12:00:00 AM,-160855.73
2021,09/25/2020 12:00:00 AM,1843354.4
2018,01/09/2018 12:00:00 AM,24125125.58
2019,05/10/2019 12:00:00 AM,5592730.16
2020,08/02/2019 12:00:00 AM,2744390.92
2015,04/22/2015 12:00:00 AM,2302040.69
2020,12/18/2019 12:00:00 AM,14259046.27
2023,06/10/2023 12:00:00 AM,105021.73
2015,08/07/2014 12:00:00 AM,4295213.69
2020,10/08/2019 12:00:00 AM,1296473.35
2021,06/03/2021 12:00:00 AM,6408562.6
2018,11/30/2017 12:00:00 AM,43983679.43
2020,06/05/2020 12:00:00 AM,373586.66
2019,03/29/2019 12:00:00 AM,908829.34
2015,07/22/2014 12:00:00 AM,1218057.34
2016,04/15/2016 12:00:00 AM,2394700.43
2018,03/05/2018 12:00:00 AM,793584.26
2021,12/03/2020 12:00:00 AM,14575003.98
2017,12/18/2016 12:00:00 AM,44337.2
2020,08/22/2019 12:00:00 AM,610227.23
2019,06/17/2019 12:00:00 AM,2377795.32
2020,02/28/2020 12:00:00 AM,2062367.03
2016,07/23/2015 12:00:00 AM,2581701.54
2021,12/11/2020 12:00:00 AM,2332363.24
2019,03/28/2019 12:00:00 AM,1423552.15
2023,11/18/2022 12:00:00 AM,1236914.93
2019,12/19/2018 12:00:00 AM,3080850.11
2017,01/13/2017 12:00:00 AM,16354914.09
2023,06/27/2023 12:00:00 AM,755537.89
2020,07/23/2019 12:00:00 AM,31438722.62
2017,07/31/2016 12:00:00 AM,125996.04
2022,03/23/2022 12:00:00 AM,2860358.55
2019,08/18/2018 12:00:00 AM,20322.39
2018,12/09/2017 12:00:00 AM,142273.49
2018,05/10/2018 12:00:00 AM,1654015.67
2022,05/02/2022 12:00:00 AM,4670270.98
2023,04/01/2023 12:00:00 AM,-549346.62
2021,07/26/2020 12:00:00 AM,90985.08
2024,09/27/2023 12:00:00 AM,4715944.97
2018,08/14/2017 12:00:00 AM,3341153.69
2023,05/05/2023 12:00:00 AM,2139627.85
2024,12/31/2023 12:00:00 AM,113548.83
2019,03/12/2019 12:00:00 AM,5253976.69
2021,09/16/2020 12:00:00 AM,2832126.22
2020,09/17/2019 12:00:00 AM,32169628.86
2022,12/16/2021 12:00:00 AM,4055265.63
2016,06/06/2016 12:00:00 AM,9571761.37
2024,09/08/2023 12:00:00 AM,3111200.42
2023,08/05/2022 12:00:00 AM,2564885.69
2021,07/21/2020 12:00:00 AM,34391624.44
2018,08/15/2017 12:00:00 AM,3750932.96
2016,05/23/2016 12:00:00 AM,6539796.92
2020,10/31/2019 12:00:00 AM,1746784.39
2018,02/26/2018 12:00:00 AM,864457.27
2023,01/25/2023 12:00:00 AM,4463350.17
2021,01/21/2021 12:00:00 AM,1585136.4
2018,09/20/2017 12:00:00 AM,4202928.58
2023,07/18/2022 12:00:00 AM,11634314.6
2019,10/09/2018 12:00:00 AM,1567887.7
2019,05/28/2019 12:00:00 AM,30047893.27
2016,01/28/2016 12:00:00 AM,7892525.83
