Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Thursday May 16,boxscore,CIN,@,LAD,W,7,2,,19-25,4,7.5,Martinez,Glasnow,,2:49,N,53527,.58,+,
45,Friday May 17,boxscore,CIN,@,LAD,L,3,7,,19-26,5,7.5,Grove,Cruz,,2:19,N,46832,.63,-,
46,Saturday May 18,boxscore,CIN,@,LAD,L,0,4,,19-27,5,8.5,Buehler,Ashcraft,,2:07,N,49239,.60,--,
47,Sunday May 19,boxscore,CIN,@,LAD,L-wo,2,3,10,19-28,5,8.5,Banda,Díaz,,2:54,D,52656,.51,---,
48,Tuesday May 21,boxscore,CIN,,SDP,W,2,0,,20-28,5,8.0,Abbott,Musgrove,Díaz,2:18,N,18996,.49,+,
49,Wednesday May 22,boxscore,CIN,,SDP,L,3,7,,20-29,5,8.0,King,Martinez,,2:11,N,14255,.51,-,
50,Thursday May 23,boxscore,CIN,,SDP,L,4,6,10,20-30,5,8.5,Estrada,Moll,Suarez,3:15,D,16479,.47,--,
51,Friday May 24,boxscore,CIN,,LAD,W,9,6,,21-30,5,8.5,Ashcraft,Ramírez,,2:56,N,40074,.41,+,
52,Saturday May 25,boxscore,CIN,,LAD,W,3,1,,22-30,5,8.5,Greene,Buehler,Díaz,2:29,N,41880,.45,++,
53,Sunday May 26,boxscore,CIN,,LAD,W,4,1,,23-30,5,7.5,Martinez,Yamamoto,Díaz,2:27,D,35619,.49,+++,
54,Monday May 27,boxscore,CIN,,STL,W,3,1,,24-30,5,7.5,Lodolo,Lynn,Sims,2:15,D,24797,.55,++++,
55,Tuesday May 28,boxscore,CIN,,STL,L,1,7,,24-31,5,7.5,Gibson,Abbott,,2:37,N,19471,.61,-,
56,Wednesday May 29,boxscore,CIN,,STL,L,3,5,,24-32,5,8.5,Pallante,Montas,Helsley,2:58,D,18713,.56,--,
57,Friday May 31,boxscore,CIN,@,CHC,W,5,4,,25-32,5,9.0,Cruz,Smyly,Díaz,3:05,D,36281,.51,+,
58,Saturday Jun 1,boxscore,CIN,@,CHC,L,5,7,,25-33,5,10.0,Leiter,Sims,Neris,2:46,N,36430,.55,-,
59,Sunday Jun 2,boxscore,CIN,@,CHC,W,5,2,,26-33,5,10.0,Lodolo,Brown,Díaz,2:24,D,38129,.50,+,
60,Monday Jun 3,boxscore,CIN,@,COL,W,13,3,,27-33,5,9.0,Abbott,Feltner,,2:30,N,25140,.51,++,
61,Tuesday Jun 4,boxscore,CIN,@,COL,W,4,1,,28-33,5,8.0,Montas,Blach,,2:22,N,25315,.56,+++,
62,Wednesday Jun 5,boxscore,CIN,@,COL,W,12,7,,29-33,5,7.0,Cruz,Beeks,,3:12,D,27022,.63,++++,
63,Thursday Jun 6,boxscore,CIN,,CHC,W,8,4,,30-33,3,6.5,Greene,Assad,,2:33,N,25601,.76,+++++,
64,Friday Jun 7,boxscore,CIN,,CHC,W,3,2,,31-33,2,6.5,Lodolo,Steele,Díaz,2:10,N,37501,.84,++++++,
65,Saturday Jun 8,boxscore,CIN,,CHC,W,4,3,,32-33,2,6.5,Abbott,Brown,Wilson,2:32,D,40274,.87,+++++++,
66,Sunday Jun 9,boxscore,CIN,,CHC,L,2,4,,32-34,2,6.5,Imanaga,Montas,Neris,2:49,D,32737,.87,-,
67,Tuesday Jun 11,boxscore,CIN,,CLE,L,3,5,,32-35,3,7.0,McKenzie,Martinez,Clase,2:58,N,34103,.81,--,
